id,current_name,new_name,path,severity,issues,mime_type
1_4CVWPVAZnwVBcGrLkhEpFa-AB2qUXNy,2025-01-16 – Traduire-sans-migraine-test-plugin-wordpress – Thumbnail Pinterest.jpg,2025-01-16 - Traduire-sans-migraine-test-plugin-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-01-16 – Traduire-sans-migraine-test-plugin-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1alBBdu-nzb-KbFWWoKHyc_cWSHxtKSXQ,2025-01-24 – Skoatch-performance-efficacite-redaction-ia – Thumbnail Pinterest.jpg,2025-01-24 - Skoatch-performance-efficacite-redaction-ia - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-01-24 – Skoatch-performance-efficacite-redaction-ia – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1alYE_lnLlYtesmr9a5umQVnACZv7DHuN,2025-01-24 – Skoatch-avis-outil-ia-seo – Thumbnail Pinterest.jpg,2025-01-24 - Skoatch-avis-outil-ia-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-01-24 – Skoatch-avis-outil-ia-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1d6KGFPdgIr36Al-yBvkTlCuozmW3FZNo,2025-02-10 – Academy-lms-wordpress-lancer-academie-1-clic – Thumbnail Pinterest.jpg,2025-02-10 - Academy-lms-wordpress-lancer-academie-1-clic - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-02-10 – Academy-lms-wordpress-lancer-academie-1-clic – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1lCn-m-sLid1ZMeiB9KRbT5FudNPsmxIT,2025-03-03 – Hebergement-wordpress-performant-rapyd-cloud – Thumbnail Pinterest.jpg,2025-03-03 - Hebergement-wordpress-performant-rapyd-cloud - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-03-03 – Hebergement-wordpress-performant-rapyd-cloud – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1qe-MZJvgbGdB0EPV_MiPHupkGlHlufeb,2025-03-14 – Link-whisper-plugin-wordpress-maillage-interne-seo – Thumbnail Pinterest.jpg,2025-03-14 - Link-whisper-plugin-wordpress-maillage-interne-seo - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-03-14 – Link-whisper-plugin-wordpress-maillage-interne-seo – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1qf_hMTbkMFtSN9Tu-GOUKoaT2tEbvE48,2025-03-14 – Link-whisper-outil-seo-incontournable-wordpress – Thumbnail Pinterest.jpg,2025-03-14 - Link-whisper-outil-seo-incontournable-wordpress - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-03-14 – Link-whisper-outil-seo-incontournable-wordpress – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1xdQGTbzF3b1SdJZ7COYuAHgb7Z4Ln0ps,2025-04-17 – Learndash-plugin-wordpress-formations – Thumbnail Pinterest.jpg,2025-04-17 - Learndash-plugin-wordpress-formations - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-04-17 – Learndash-plugin-wordpress-formations – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1xeN25K57_Ej0OpBButCTPy175HioYSd0,2025-04-17 – Learndash-plugin-wordpress-lms – Thumbnail Pinterest.jpg,2025-04-17 - Learndash-plugin-wordpress-lms - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-04-17 – Learndash-plugin-wordpress-lms – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
1zv3LjdoA700ksZV78fxNbEsCh-ZDnF01,2025-05-02 – Apprendre-wordpress-sans-coder – Thumbnail Pinterest.jpg,2025-05-02 - Apprendre-wordpress-sans-coder - Thumbnail Pinterest.jpg,01_Projets/schoolsWP/04_ASSETS/02_Thumbnails/2025-05-02 – Apprendre-wordpress-sans-coder – Thumbnail Pinterest.jpg,low,long_dash,image/jpeg
